so2_data_quality,atmospheric_variability,aerosol_optical_depth
22,99.98,0.742
22,93.02,0.234
22,99.99,5.059
22,99.98,3.677
22,99.82,1.5
22,95.48,0.236
21,16.75,0.224
22,99.98,0.329
21,12.34,0.24
21,50.11,0.245
21,11.82,0.253
21,32.18,0.245
22,87.95,0.289
22,91.21,0.316
21,11.93,0.347
21,35.44,0.379
21,25.02,0.367
21,27.54,0.364
21,9.36,0.367
22,96.59,0.402
22,94.02,0.435
21,54.72,0.431
21,45.04,0.414
21,54.85,0.397
21,31.05,0.397
21,22.88,0.4
21,40.37,0.407
21,68.29,0.426
21,69.22,0.455
22,99.98,0.663
22,99.99,1.591
22,99.99,0.841
21,69.8,0.388
22,81.39,0.391
21,13.29,0.313
21,16.38,0.23
21,15.98,0.174
21,18.81,0.176
20,15.49,0.169
21,10.32,0.171
21,29.21,0.191
21,37.67,0.213
21,21.2,0.193
21,16.95,0.2
21,43.51,0.2
21,20.42,0.19
21,28.15,0.186
21,27.69,0.191
21,8.45,0.184
21,10.45,0.213
21,40.38,0.224
21,17.32,0.229
21,35.33,0.248
21,19.76,0.258
21,25.23,0.248
21,22.83,0.233
21,10.1,0.222
21,8.32,0.196
21,17.76,0.191
21,9.83,0.175
22,99.92,0.226
22,99.99,1.231
22,88.82,0.441
21,9.68,0.183
21,9.74,0.193
21,8.65,0.184
21,4.88,0.189
21,7.08,0.184
21,14.92,0.186
21,-1.02,0.181
21,7.51,0.178
21,6.23,0.172
21,2.88,0.169
21,32.2,0.174
21,10.39,0.194
21,29.67,0.2
21,3.37,0.189
21,9.34,0.169
21,7.16,0.19
21,16.73,0.177
21,9.6,0.186
21,1.77,0.188
21,31.64,0.201
21,8.42,0.219
21,33.89,0.231
21,5.39,0.197
21,17.55,0.192
22,83.35,0.191
21,18.22,0.195
21,15.97,0.204
21,24.33,0.214
22,89.5,0.258
21,45.02,0.273
21,30.25,0.24
21,50.58,0.263
21,40.33,0.26
21,9.15,0.231
21,10.51,0.231
21,22.07,0.262
21,62.34,0.279
21,51.92,0.28
21,51.78,0.292
21,-5.91,0.281
21,37.08,0.287
21,43.13,0.305
21,3.56,0.279
21,3.94,0.267
22,73.65,0.286
21,2.27,0.253
21,10.23,0.244
21,6.31,0.254
21,42.84,0.279
21,31.75,0.312
